3	4	18	1
3	4	58	1
0	2	90	2
3	4	40	1
0	2	B4	1
3	4	28	1
3	4	88	1
0	2	A0	2
3	4	24	1
3	4	64	1
0	2	9C	2
0	1	C4	1
0	1	C0	1
0	1	F4	1
3	4	3C	1
3	4	30	1
3	4	34	1
3	4	38	1
3	4	48	1
3	4	00	1
3	4	68	1
3	4	50	1
3	4	70	1
3	4	08	1
3	4	6C	1
3	4	74	1
3	4	04	1
3	4	D0	1
3	4	20	1
3	4	60	1
0	2	98	2
0	1	C8	0
3	4	44	1
3	4	D8	1
0	2	AC	2
3	4	4C	0
0	2	A4	2
0	2	A8	2
0	1	F0	0
3	4	EC	1
3	4	0C	1
3	4	78	1
3	4	54	1
3	4	80	1
3	4	D4	1
3	4	14	1
3	4	7C	1
3	4	E8	1
3	4	84	1
3	4	10	1
3	4	1C	1
3	4	5C	1
0	2	94	2
0	2	B0	1
3	4	E0	1
0	1	F8	0
3	4	2C	1
0	2	B8	1
3	4	DC	1
